Year,City,latitude,longitude
1896,athens,37.9838,23.7275
1900,paris,48.8566,2.3522
1904,st. louis,38.627,-90.1994
1908,london,51.5074,-0.1278
1912,stockholm,59.3293,18.0686
1920,antwerpen,51.2194,4.4025
1924,paris,48.8566,2.3522
1928,amsterdam,52.3676,4.9041
1932,los angeles,34.0522,-118.2437
1936,berlin,52.52,13.405
1948,london,51.5074,-0.1278
1952,helsinki,60.1695,24.9354
1956,stockholm,59.33258,18.0649
1956,melbourne,-37.8136,144.9631
1960,rome,41.9028,12.4964
1964,tokyo,35.6895,139.6917
1968,mexico city,19.4326,-99.1332
1972,munich,48.1351,11.582
1976,montreal,45.5017,-73.5673
1980,moscow,55.7558,37.6176
1984,los angeles,34.0522,-118.2437
1988,seoul,37.5665,126.978
1992,barcelona,41.3851,2.1734
1996,atlanta,33.749,-84.388
2000,sydney,-33.8688,151.2093
2004,athens,37.9838,23.7275
2008,beijing,39.9042,116.4074
2012,london,51.5074,-0.1278
2016,rio de janeiro,-22.9083,-43.1964
